YEAR,MONTH,STATE_NAME,CO2_QTY_TONNES,COUNTRY_TRAFFIC
2011,11,AUSTRIA,179027.04,14505
2011,11,BELGIUM,330549.83,12718
2011,11,BULGARIA,24551.06,1952
2011,11,CROATIA,12457.37,1960
2011,11,CYPRUS,52975.62,1983
2011,11,DENMARK,194790.53,14655
2011,11,FINLAND,178483.77,12552
2011,11,FRANCE,1521396.38,75988
2011,11,GERMANY,2320512.79,94257
2011,11,GREECE,109235.87,10763
2011,11,HUNGARY,52680.39,4252
2011,11,IRELAND,129143.45,7916
2011,11,ITALY,871266.14,61095
2011,11,LATVIA,24295.93,2500
2011,11,LITHUANIA,16582.12,1648
2011,11,LUXEMBOURG,99447.78,2113
2011,11,MALTA,19496.52,1046
2011,11,NETHERLANDS,757004.85,20679
2011,11,POLAND,115285.91,11738
2011,11,PORTUGAL,206175.45,10205
2011,11,ROMANIA,61568.36,6021
2011,11,SLOVAKIA,7987.54,1063
2011,11,SLOVENIA,7887.97,1191
2011,11,SPAIN,968592.63,53312
2011,11,SWEDEN,235095.62,23900
2011,12,AUSTRIA,173817.18,13687
2011,12,BELGIUM,325899.53,11693
2011,12,BULGARIA,26424.88,1998
2011,12,CROATIA,11080.49,1877
2011,12,CYPRUS,44004.04,1690
2011,12,DENMARK,186158.12,12747
2011,12,FINLAND,185975.39,10978
2011,12,FRANCE,1577486.27,73077
2011,12,GERMANY,2249659.77,84051
2011,12,GREECE,106445.43,10693
2011,12,HUNGARY,49323.02,4124
2011,12,IRELAND,136203.23,7931
2011,12,ITALY,872119.12,58939
2011,12,LATVIA,24396.95,2528
2011,12,LITHUANIA,17296.32,1675
2011,12,LUXEMBOURG,100822.91,2054
2011,12,MALTA,17314.99,1007
2011,12,NETHERLANDS,759628.03,19841
2011,12,POLAND,117717.56,11792
2011,12,PORTUGAL,229359.24,10896
2011,12,ROMANIA,61383.35,5709
2011,12,SLOVAKIA,6602.35,942
2011,12,SLOVENIA,7452.21,1119
