YEAR,MONTH,STATE_NAME,CO2_QTY_TONNES,COUNTRY_TRAFFIC,FUEL_CONSUMPTION_TONNES
2010,8,ITALY,1248727.82,85540,395167.03
2010,8,LITHUANIA,18316.75,1733,5796.44
2010,8,LUXEMBOURG,99675.31,2290,31542.82
2010,8,MALTA,33429.42,1816,10578.93
2010,8,NETHERLANDS,883884.76,24682,279710.37
2010,8,POLAND,177202.06,14087,56076.6
2010,8,PORTUGAL,335918.37,16165,106303.28
2010,8,ROMANIA,90308.28,8167,28578.57
2010,8,SLOVAKIA,17976.43,1833,5688.74
2010,8,SLOVENIA,14471.71,1862,4579.65
2010,8,SPAIN,1476005.97,79200,467090.5
2010,8,SWEDEN,236326.41,20978,74786.84
2010,9,AUSTRIA,198899.61,17281,62942.91
2010,9,BELGIUM,352676.26,14426,111606.41
2010,9,BULGARIA,68113.12,3964,21554.78
2010,9,CROATIA,46860.92,4526,14829.4
2010,9,CYPRUS,99273.25,3151,31415.59
2010,9,DENMARK,218174.48,16517,69042.56
2010,9,FINLAND,169918.17,12776,53771.57
2010,9,FRANCE,1682660.36,86800,532487.45
2010,9,GERMANY,2521837.32,108058,798049.78
2010,9,GREECE,391073.36,24008,123757.39
2010,9,HUNGARY,66980.66,5301,21196.41
2010,9,IRELAND,182294.35,10698,57688.09
2010,9,ITALY,1148608.51,81322,363483.71
2010,9,LITHUANIA,16178.13,1675,5119.66
2010,9,LUXEMBOURG,97492.46,2388,30852.04
2010,9,MALTA,31749.93,1721,10047.44
2010,9,NETHERLANDS,829704.97,23957,262564.86
2010,9,POLAND,166098.2,13743,52562.72
2010,9,PORTUGAL,300648.47,14187,95141.92
2010,9,ROMANIA,86069.85,7982,27237.3
2010,9,SLOVAKIA,15878.04,1730,5024.7
2010,9,SLOVENIA,13242.77,1806,4190.75
2010,9,SPAIN,1340504.05,73987,424210.14
2010,9,SWEDEN,252233.17,24828,79820.62
2010,10,AUSTRIA,194654.41,16887,61599.5
2010,10,BELGIUM,366952.06,14484,116124.07
2010,10,BULGARIA,44630.95,2705,14123.72
2010,10,CROATIA,28795.5,3340,9112.5
2010,10,CYPRUS,101206.0,3232,32027.22
2010,10,DENMARK,227833.95,16311,72099.35
2010,10,FINLAND,177092.96,12633,56042.08
2010,10,FRANCE,1671272.32,82909,528883.65
2010,10,GERMANY,2587676.07,108125,818884.83
2010,10,GREECE,275816.21,18943,87283.61
2010,10,HUNGARY,62700.37,5028,19841.89
2010,10,IRELAND,177464.02,10539,56159.5
2010,10,ITALY,1081340.54,75683,342196.37
2010,10,LITHUANIA,15295.73,1623,4840.42
2010,10,LUXEMBOURG,106798.0,2472,33796.83
2010,10,MALTA,30015.28,1607,9498.51
2010,10,NETHERLANDS,854988.35,24248,270565.93
2010,10,POLAND,143583.98,13190,45437.97
2010,10,PORTUGAL,281408.34,13684,89053.27
2010,10,ROMANIA,77127.78,7334,24407.53
2010,10,SLOVAKIA,11328.36,1525,3584.92
2010,10,SLOVENIA,10597.29,1652,3353.57
2010,10,SPAIN,1286812.37,71935,407219.1
2010,10,SWEDEN,252929.84,24441,80041.09
2010,11,AUSTRIA,175300.3,15295,55474.78
2010,11,BELGIUM,343760.81,12844,108785.07
2010,11,BULGARIA,30370.47,2196,9610.91
2010,11,CROATIA,13401.07,2058,4240.85
2010,11,CYPRUS,59631.8,2083,18870.82
2010,11,DENMARK,192477.55,14598,60910.62
2010,11,FINLAND,167054.21,12592,52865.26
2010,11,FRANCE,1518139.56,74881,480423.91
2010,11,GERMANY,2298123.06,94790,727254.13
2010,11,GREECE,129036.18,11589,40834.23
2010,11,HUNGARY,51061.59,4363,16158.73
2010,11,IRELAND,139278.5,8713,44075.48
2010,11,ITALY,917473.79,64493,290339.81
2010,11,LITHUANIA,13406.02,1496,4242.41
2010,11,LUXEMBOURG,107098.3,2259,33891.87
2010,11,MALTA,19573.39,1087,6194.11
2010,11,NETHERLANDS,771319.39,20079,244088.42
2010,11,POLAND,113210.61,10935,35826.14
2010,11,PORTUGAL,219996.29,10856,69619.08
2010,11,ROMANIA,68986.39,6679,21831.14
2010,11,SLOVAKIA,8523.13,1147,2697.19
2010,11,SLOVENIA,7842.28,1343,2481.73
2010,11,SPAIN,1017098.64,58480,321866.66
2010,11,SWEDEN,232608.4,23168,73610.25
2010,12,AUSTRIA,171286.44,13952,54204.57
2010,12,BELGIUM,325144.03,11555,102893.68
2010,12,BULGARIA,30141.78,2154,9538.54
2010,12,CROATIA,12115.36,1862,3833.97
2010,12,CYPRUS,50615.86,1901,16017.68
2010,12,DENMARK,180873.33,12490,57238.39
2010,12,FINLAND,155223.55,10080,49121.38
2010,12,FRANCE,1527722.74,68610,483456.56
2010,12,GERMANY,2154705.66,80220,681868.88
2010,12,GREECE,126856.95,11463,40144.61
2010,12,HUNGARY,48770.72,4084,15433.77
2010,12,IRELAND,129226.24,7797,40894.38
2010,12,ITALY,912267.17,61692,288692.14
2010,12,LITHUANIA,12395.09,1426,3922.5
2010,12,LUXEMBOURG,100318.54,1953,31746.37
2010,12,MALTA,20768.27,1098,6572.24
2010,12,NETHERLANDS,752856.9,17485,238245.86
2010,12,POLAND,111317.32,10306,35227.0
2010,12,PORTUGAL,230680.33,11250,73000.11
2010,12,ROMANIA,64253.56,6021,20333.41
2010,12,SLOVAKIA,7317.83,1098,2315.77
2010,12,SLOVENIA,7576.35,1285,2397.58
2010,12,SPAIN,966345.35,52711,305805.49
2010,12,SWEDEN,223193.12,19833,70630.73
2011,1,AUSTRIA,183567.87,14789,58091.1
2011,1,BELGIUM,324609.02,12309,102724.37
2011,1,BULGARIA,30837.81,2247,9758.8
2011,1,CROATIA,12145.89,1879,3843.64
2011,1,CYPRUS,46959.85,1795,14860.71
2011,1,DENMARK,194567.55,13730,61572.01
2011,1,FINLAND,187165.49,11827,59229.59
2011,1,FRANCE,1557157.03,74879,492771.21
2011,1,GERMANY,2220350.17,86276,702642.46
2011,1,GREECE,122300.9,11306,38702.82
2011,1,HUNGARY,47689.69,4106,15091.67
2011,1,IRELAND,135531.76,8733,42889.8
2011,1,ITALY,932843.32,62024,295203.58
2011,1,LATVIA,25972.61,2600,8219.18
2011,1,LITHUANIA,12467.91,1469,3945.54
2011,1,LUXEMBOURG,90166.77,2120,28533.79
2011,1,MALTA,19667.41,1055,6223.86
2011,1,NETHERLANDS,749606.8,19854,237217.34
2011,1,POLAND,112206.06,10691,35508.25
2011,1,PORTUGAL,229362.82,11356,72583.17
2011,1,ROMANIA,67323.27,6109,21304.83
2011,1,SLOVAKIA,7388.79,1064,2338.22
2011,1,SLOVENIA,6983.21,1241,2209.88
2011,1,SPAIN,991393.46,54131,313732.11
2011,1,SWEDEN,229816.52,19706,72726.75
2011,2,AUSTRIA,170751.82,14449,54035.39
2011,2,BELGIUM,305360.3,11987,96633.01
2011,2,BULGARIA,29743.65,2062,9412.55
2011,2,CROATIA,11180.46,1802,3538.12
2011,2,CYPRUS,42697.39,1693,13511.83
2011,2,DENMARK,180683.41,13285,57178.29
2011,2,FINLAND,172259.57,11921,54512.52
2011,2,FRANCE,1414916.26,71524,447758.31
2011,2,GERMANY,2060978.03,85379,652208.24
2011,2,GREECE,113773.93,10164,36004.41
2011,2,HUNGARY,42174.73,3727,13346.43
2011,2,IRELAND,128957.91,8145,40809.46
2011,2,ITALY,825160.33,59045,261126.69
2011,2,LATVIA,22362.2,2337,7076.65
2011,2,LITHUANIA,11262.55,1345,3564.1
2011,2,LUXEMBOURG,82140.55,1908,25993.85
2011,2,MALTA,21489.75,1047,6800.55
2011,2,NETHERLANDS,676990.92,18654,214237.63
2011,2,POLAND,99406.95,10126,31457.89
2011,2,PORTUGAL,192674.76,9862,60973.02
2011,2,ROMANIA,59825.27,5683,18932.05
2011,2,SLOVAKIA,6818.17,995,2157.65
2011,2,SLOVENIA,7002.32,1191,2215.92
2011,2,SPAIN,929883.74,53542,294267.01
2011,2,SWEDEN,221530.86,20957,70104.7
2011,3,AUSTRIA,192845.0,16532,61026.9
2011,3,BELGIUM,355194.46,14072,112403.31
2011,3,BULGARIA,30391.02,2240,9617.41
2011,3,CROATIA,14045.56,2154,4444.8
2011,3,CYPRUS,52980.74,2054,16766.06
2011,3,DENMARK,206901.65,15616,65475.2
2011,3,FINLAND,199024.12,13753,62982.32
2011,3,FRANCE,1621908.42,83388,513262.16
2011,3,GERMANY,2375254.72,99544,751662.89
2011,3,GREECE,139363.37,11776,44102.33
2011,3,HUNGARY,53165.18,4563,16824.42
2011,3,IRELAND,151669.69,9443,47996.74
2011,3,ITALY,978218.04,68938,309562.67
2011,3,LATVIA,25920.88,2721,8202.81
2011,3,LITHUANIA,13551.75,1584,4288.53
2011,3,LUXEMBOURG,100327.8,2311,31749.3
2011,3,MALTA,25784.21,1214,8159.56
2011,3,NETHERLANDS,781501.47,22894,247310.59
2011,3,POLAND,118718.13,11941,37569.03
2011,3,PORTUGAL,229899.96,11578,72753.15
2011,3,ROMANIA,68103.51,6357,21551.74
2011,3,SLOVAKIA,8710.73,1280,2756.56
2011,3,SLOVENIA,7914.49,1376,2504.59
2011,3,SPAIN,1108478.41,62906,350784.31
2011,3,SWEDEN,261296.13,25225,82688.65
2011,4,AUSTRIA,186897.85,15346,59144.89
2011,4,BELGIUM,344550.58,13670,109034.99
2011,4,BULGARIA,32446.75,2381,10267.96
2011,4,CROATIA,23380.84,3092,7399.0
2011,4,CYPRUS,78547.99,2709,24856.96
2011,4,DENMARK,199071.22,14888,62997.22
2011,4,FINLAND,183719.74,13142,58139.16
2011,4,FRANCE,1670540.22,84079,528651.97
2011,4,GERMANY,2405495.86,96569,761232.87
2011,4,GREECE,185128.75,15025,58585.05
2011,4,HUNGARY,60194.16,4938,19048.78
2011,4,IRELAND,168608.17,9882,53357.02
2011,4,ITALY,1016802.33,72844,321772.89
2011,4,LATVIA,30333.25,3011,9599.13
2011,4,LITHUANIA,14842.01,1568,4696.84
2011,4,LUXEMBOURG,94297.81,2319,29841.08
2011,4,MALTA,26007.48,1391,8230.21
2011,4,NETHERLANDS,821750.64,24187,260047.67
2011,4,POLAND,128558.44,11907,40683.05
2011,4,PORTUGAL,268147.12,13310,84856.68
2011,4,ROMANIA,70964.48,6411,22457.11
2011,4,SLOVAKIA,7940.3,1105,2512.75
2011,4,SLOVENIA,9163.63,1457,2899.88
2011,4,SPAIN,1242732.64,67494,393269.82
2011,4,SWEDEN,241119.31,22826,76303.58
2011,5,AUSTRIA,199543.33,16569,63146.62
2011,5,BELGIUM,365136.3,15180,115549.46
2011,5,BULGARIA,44329.38,3019,14028.29
2011,5,CROATIA,35270.48,3991,11161.54
2011,5,CYPRUS,106827.55,3278,33806.19
2011,5,DENMARK,211577.77,16707,66954.99
2011,5,FINLAND,188387.73,14369,59616.37
2011,5,FRANCE,1730594.48,92638,547656.48
2011,5,GERMANY,2564512.58,108267,811554.61
2011,5,GREECE,335768.68,20866,106255.91
2011,5,HUNGARY,61619.86,5066,19499.95
2011,5,IRELAND,183371.57,10787,58028.98
2011,5,ITALY,1075885.9,79099,340470.22
2011,5,LATVIA,33279.46,3366,10531.47
2011,5,LITHUANIA,18932.21,1831,5991.21
